Designator,Mid X,Mid Y,Rotation,Layer
C1,194.1625,-55.44,180.0,top
C2,188.3125,-55.44,0.0,top
C3,161.205,-48.03,180.0,top
C4,161.205,-45.02,180.0,top
D1,148.984625,-88.688375,90.0,top
D10,160.546625,-92.200875,90.0,top
D11,164.400625,-92.200875,90.0,top
D12,168.254625,-92.200875,90.0,top
D13,148.984625,-95.61127,90.0,top
D14,152.838625,-95.61127,90.0,top
D15,156.692625,-95.61127,90.0,top
D16,160.546625,-95.61127,90.0,top
D17,164.400625,-95.61127,90.0,top
D18,168.254625,-95.720875,90.0,top
D19,148.984625,-99.220875,90.0,top
D2,152.838625,-88.688375,90.0,top
D20,152.838625,-99.220875,90.0,top
D21,156.692625,-99.220875,90.0,top
D22,160.546625,-99.220875,90.0,top
D23,164.400625,-99.220875,90.0,top
D24,168.254625,-99.220875,90.0,top
D25,148.984625,-102.76627,90.0,top
D26,152.838625,-102.76627,90.0,top
D27,156.692625,-102.76627,90.0,top
D28,160.546625,-102.76627,90.0,top
D29,164.400625,-102.680875,90.0,top
D3,156.692625,-88.688375,90.0,top
D30,168.254625,-102.680875,90.0,top
D31,148.984625,-106.068375,90.0,top
D32,152.838625,-106.110875,90.0,top
D33,156.692625,-106.110875,90.0,top
D34,160.546625,-106.110875,90.0,top
D35,164.400625,-106.110875,90.0,top
D36,168.254625,-106.110875,90.0,top
D37,186.70048,-88.730875,90.0,top
D38,190.55448,-88.730875,90.0,top
D39,194.40848,-88.730875,90.0,top
D4,160.546625,-88.688375,90.0,top
D40,198.26248,-88.730875,90.0,top
D41,202.11648,-88.730875,90.0,top
D42,205.97048,-88.730875,90.0,top
D43,186.70048,-92.243375,90.0,top
D44,190.55448,-92.243375,90.0,top
D45,194.40848,-92.243375,90.0,top
D46,198.26248,-92.243375,90.0,top
D47,202.11648,-92.243375,90.0,top
D48,205.97048,-92.243375,90.0,top
D49,186.70048,-95.65377,90.0,top
D5,164.400625,-88.688375,90.0,top
D50,190.55448,-95.65377,90.0,top
D51,194.40848,-95.65377,90.0,top
D52,198.26248,-95.65377,90.0,top
D53,202.11648,-95.65377,90.0,top
D54,205.97048,-95.65377,90.0,top
D55,186.70048,-99.263375,90.0,top
D56,190.55448,-99.263375,90.0,top
D57,194.40848,-99.263375,90.0,top
D58,198.26248,-99.263375,90.0,top
D59,202.11648,-99.263375,90.0,top
D6,168.254625,-88.688375,90.0,top
D60,205.97048,-99.263375,90.0,top
D61,186.70048,-102.80877,90.0,top
D62,190.55448,-102.80877,90.0,top
D63,194.40848,-102.80877,90.0,top
D64,198.26248,-102.80877,90.0,top
D65,202.11648,-102.80877,90.0,top
D66,205.97048,-102.80877,90.0,top
D67,186.70048,-106.110875,90.0,top
D68,190.55448,-106.110875,90.0,top
D69,194.40848,-106.110875,90.0,top
D7,148.984625,-92.200875,90.0,top
D70,198.26248,-106.110875,90.0,top
D71,202.11648,-106.110875,90.0,top
D72,205.97048,-106.110875,90.0,top
D8,152.838625,-92.200875,90.0,top
D9,156.692625,-92.200875,90.0,top
J1,166.4325,-46.28,0.0,top
J2,192.2425,-46.29,180.0,top
R1,187.2725,-51.23,270.0,top
R2,195.2025,-51.23,270.0,top
R3,192.16,-63.27,180.0,top
R4,181.9,-57.7,0.0,top
U1,178.7225,-46.635395,0.0,bottom
U2,176.905937,-69.482215,135.0,top
